[ 0.0 0.0 0.0],[ 185.35161512350325 185.35161512350294 185.35161512350274],[ 0.0 0.0 0.0],[ 185.351615123503 185.3516151235029 185.35161512350257],[35.836148738861084]
[ 0.0 0.35965178141160237 0.3596587743024],[ 185.35161512350325 185.35161512350294 185.35161512350274],[ 0.0 0.09777155591107309 0.09777259761719238],[ 185.351615123503 185.3516151235029 185.35161512350257],[36.34790062904358]
[ 0.0 0.23310093702999696 0.23313106757201688],[ 185.50317527243988 185.543436190682 185.5434418752451],[ 0.0 0.0 0.0],[ 185.38808589579574 185.4064178959502 185.40642092605552],[36.47287154197693]
[ 0.0 0.16367847639083732 0.1636831744422529],[ 185.54677073201347 185.63383256488052 185.6338449863335],[ 0.0 0.0 0.0],[ 185.38417624224124 185.39203791762353 185.39203656497887],[36.59558916091919]
[ 0.0 0.17223417402404778 0.17224164377996318],[ 185.53940709975362 185.66767546722636 185.66768997887715],[ 0.0 0.0 0.0],[ 185.37745311632636 185.3824171884541 185.38241488000165],[36.71833348274231]
[ 0.0 0.1969104582606134 0.19692258316159564],[ 185.5311457083654 185.6997365383664 185.69975348273587],[ 0.0 0.0 0.0],[ 185.371535364647 185.37521688869265 185.37521416500306],[36.840434312820435]
[ 0.0 0.22281681820236543 0.2228322678774484],[ 185.5303495766237 185.73951735966565 185.73953807226331],[ 0.0 0.0 0.0],[ 185.36707457229366 185.36976166019465 185.36975872736144],[36.96416115760803]
[ 0.0 0.24848700959062017 0.24850531015719757],[ 185.5358528859921 185.7858890029649 185.7859148169058],[ 0.0 0.0 0.0],[ 185.36366538333323 185.3657216762577 185.36571425742176],[37.08901047706604]
[ 0.0 0.27398972112265724 0.27401065068294506],[ 185.5459718942487 185.83709196013606 185.83712415440345],[ 0.0 0.0 0.0],[ 185.36127370969908 185.36262874749886 185.36262096996452],[37.212775230407715]
[ 0.0 0.29939508973272777 0.2994184305348518],[ 185.55946316743066 185.89182564778307 185.89186546347887],[ 0.0 0.0 0.0],[ 185.35951166263786 185.36030935509584 185.3603012236477],[37.33403277397156]
[ 0.0 0.32474359172049605 0.32476911025675587],[ 185.57542852541093 185.94915232053967 185.94920096555782],[ 0.0 0.0 0.0],[ 185.3583456043576 185.3585013796998 185.3584986046159],[37.45696783065796]
[ 0.0 0.350064470560216 0.3500919305779211],[ 185.59321490959059 186.0083911371558 186.0084497884612],[ 0.0 0.0 0.0],[ 185.3573949421084 185.35719535018526 185.35719125158022],[37.580291509628296]
[ 0.0 0.37537974646173633 0.3754089171818264],[ 185.61234736341638 186.0690475966976 186.06911740347303],[ 0.0 0.0 0.0],[ 185.35666836164233 185.35622927946477 185.35622512357762],[37.70203399658203]
[ 0.0 0.40070520464271503 0.40073586362356145],[ 185.63248082912548 186.13076293511597 186.13084502253633],[ 0.0 0.0 0.0],[ 185.35613367245602 185.35550517520412 185.3555009374973],[37.82322406768799]
[ 0.0 0.4260530303406562 0.42608496421788483],[ 185.6533645465844 186.19327674254566 186.19337221556594],[ 0.0 0.0 0.0],[ 185.35574039446664 185.3549626558052 185.35495831302606],[37.94610571861267]
[ 0.0 0.45143171917125097 0.4514647226279904],[ 185.67481663261555 186.2564003942944 186.25651034123783],[ 0.0 0.0 0.0],[ 185.35545134570893 185.35455639523417 185.3545519263077],[38.06815314292908]
[ 0.0 0.47684750234789935 0.4768813769015745],[ 185.69670501839371 186.3199970772977 186.32012257294235],[ 0.0 0.0 0.0],[ 185.3552391217157 185.35425238187062 185.35424776825656],[38.1904079914093]
[ 0.0 0.5023049491688398 0.5023395019112291],[ 185.71893385149255 186.38396758381606 186.38410969198728],[ 0.0 0.0 0.0],[ 185.35508352296625 185.35402509205954 185.35402031780148],[38.312747955322266]
[ 0.0 0.5278074076182179 0.5278424500043358],[ 185.74143360297242 186.44823999233714 186.44839976802018],[ 0.0 0.0 0.0],[ 185.35496966036774 185.35385537154352 185.3538504231274],[38.43478083610535]
[ 0.0 0.5533573361670423 0.5533926830061233],[ 185.76415387060155 186.51276217189064 186.5129406629081],[ 0.0 0.0 0.0],[ 185.3548865586179 185.3537288460048 185.353723712124],[38.55704474449158]
[ 0.0 0.5789565467417331 0.5789920153589465],[ 185.78705814859384 186.57749634332095 186.5776945916328],[ 0.0 0.0 0.0],[ 185.3548261266401 185.3536347283849 185.35362939968667],[38.679659366607666]
[ 0.0 0.6020909392909083 0.5980478728395363],[ 185.8101200274766 186.64241513431497 186.64263417700676],[ 0.0 0.002976380240305464 0.007739385684612143],[ 185.35478239944266 185.35356492358787 185.35355939239784],[38.801779985427856]
[ 0.0 0.6225397734112678 0.6187619149441252],[ 185.8316281971867 186.70532128278907 186.7047674562773],[ 0.0 0.01047063391961129 0.01827179740329058],[ 185.35583282920692 185.35596575875303 185.35810333560903],[38.92390513420105]
[ 0.0 0.6452455699861414 0.6403253362580185],[ 185.85202508951656 186.76604020600976 186.76455100951543],[ 0.0 0.01876542011974313 0.03012783380661951],[ 185.35850222283597 185.36298987712144 185.3680528873534],[39.04664325714111]
[ 0.0 0.668342145372954 0.661635513395255],[ 185.8724169782047 186.82593580556338 186.82325721750547],[ 0.0 0.027605237174730547 0.043501650002976594],[ 185.36295754440246 185.3740250926641 185.38254472235593],[39.168317794799805]
[ 0.0 0.6917238956726746 0.6826047593010499],[ 185.8929365080737 186.8852990810871 186.88108773505635],[ 0.0 0.036380547904903866 0.05816898597100445],[ 185.36870253741887 185.38849156461154 185.4016413033751],[39.2911434173584]
[ 0.0 0.7152218091261066 0.7028830524158086],[ 185.913592083883 186.94432585807826 186.93812571669193],[ 0.0 0.04487116325987441 0.07440638423425464],[ 185.37564682305276 185.40564736771464 185.42477068013577],[39.4166305065155]
